"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13326","switching from custom values back to preset values does not leak stale custom dimensions","chromium-desktop","2026-08-05","skipped","2026-08-05","production-safe storefront edge cases","edgecases/storefront-edgecases.spec.ts","",""
"","6526","search handles whitespace and symbols without stale results","chromium-desktop","2026-08-05","passed","2026-08-05","production-safe storefront edge cases","edgecases/storefront-edgecases.spec.ts","",""
"","9967","direct checkout access with an empty cart cannot submit an order","chromium-desktop","2026-08-05","passed","2026-08-05","production-safe storefront edge cases","edgecases/storefront-edgecases.spec.ts","",""
"","358","checkout double submit is blocked from creating duplicate order requests","chromium-desktop","2026-08-05","skipped","2026-08-05","production-safe storefront edge cases","edgecases/storefront-edgecases.spec.ts","",""
"","5725","custom product inputs reject zero and negative size or quantity","chromium-desktop","2026-08-05","passed","2026-08-05","production-safe storefront edge cases","edgecases/storefront-edgecases.spec.ts","",""
"","6368","mixed Korean and English search remains usable","chromium-desktop","2026-08-05","passed","2026-08-05","production-safe storefront edge cases","edgecases/storefront-edgecases.spec.ts","",""
"","319","mobile checkout form and summary stay within the viewport before order submission","chromium-mobile","2026-08-05","skipped","2026-08-05","mobile edge cases","edgecases/storefront-edgecases.spec.ts","",""
"","34782","browser back and forward preserve cart state before checkout submission","chromium-desktop","2026-08-05","passed","2026-08-05","production-safe storefront edge cases","edgecases/storefront-edgecases.spec.ts","",""
"","7179","search handles very long queries without server errors","chromium-desktop","2026-08-05","passed","2026-08-05","production-safe storefront edge cases","edgecases/storefront-edgecases.spec.ts","",""
"","13374","repeated add-to-cart clicks after upload create at most one cart line","chromium-desktop","2026-08-05","passed","2026-08-05","production-safe storefront edge cases","edgecases/storefront-edgecases.spec.ts","",""
"","4583","guest-only account routes do not expose member data","chromium-desktop","2026-08-05","passed","2026-08-05","production-safe storefront edge cases","edgecases/storefront-edgecases.spec.ts","",""
